WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by org.openjdk.jmh.util.Utils (file:/root/mariadb-java-driver-benchmark/target/benchmarks.jar) to field java.io.PrintStream.charOut
WARNING: Please consider reporting this to the maintainers of org.openjdk.jmh.util.Utils
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.21
# VM version: JDK 10.0.2, Java HotSpot(TM) 64-Bit Server VM, 10.0.2+13
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: -Duser.country=US -Duser.language=en -Xmx32m -Xms32m
# Warmup: 50 iterations, 20 us each
# Measurement: 200 iterations, 20 us each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.perf.jdbc.Create_and_close_Connection.test
# Parameters: (driver = mysql)

# Run progress: 0.00% complete, ETA 01:50:00
# Fork: 1 of 20
# Warmup Iteration   1: 8.827 ms/op
# Warmup Iteration   2: 6.577 ms/op
# Warmup Iteration   3: 9.540 ms/op
# Warmup Iteration   4: 19.352 ms/op
# Warmup Iteration   5: 16.014 ms/op
# Warmup Iteration   6: 30.125 ms/op
# Warmup Iteration   7: 20.446 ms/op
# Warmup Iteration   8: 10.791 ms/op
# Warmup Iteration   9: 7.658 ms/op
# Warmup Iteration  10: 9.322 ms/op
# Warmup Iteration  11: 8.434 ms/op
# Warmup Iteration  12: 11.629 ms/op
# Warmup Iteration  13: 10.398 ms/op
# Warmup Iteration  14: 9.745 ms/op
# Warmup Iteration  15: 9.095 ms/op
# Warmup Iteration  16: 5.949 ms/op
# Warmup Iteration  17: 7.403 ms/op
# Warmup Iteration  18: 7.016 ms/op
# Warmup Iteration  19: 20.947 ms/op
# Warmup Iteration  20: 3.501 ms/op
# Warmup Iteration  21: 5.520 ms/op
# Warmup Iteration  22: 6.708 ms/op
# Warmup Iteration  23: 10.079 ms/op
# Warmup Iteration  24: 2.557 ms/op
# Warmup Iteration  25: 3.449 ms/op
# Warmup Iteration  26: 9.372 ms/op
# Warmup Iteration  27: 5.033 ms/op
# Warmup Iteration  28: 2.146 ms/op
# Warmup Iteration  29: 8.349 ms/op
# Warmup Iteration  30: 4.077 ms/op
# Warmup Iteration  31: 5.217 ms/op
# Warmup Iteration  32: 9.766 ms/op
# Warmup Iteration  33: 2.721 ms/op
# Warmup Iteration  34: 5.026 ms/op
# Warmup Iteration  35: 5.883 ms/op
# Warmup Iteration  36: 8.496 ms/op
# Warmup Iteration  37: 5.672 ms/op
# Warmup Iteration  38: 5.535 ms/op
# Warmup Iteration  39: 5.691 ms/op
# Warmup Iteration  40: 6.891 ms/op
# Warmup Iteration  41: 6.736 ms/op
# Warmup Iteration  42: 2.098 ms/op
# Warmup Iteration  43: 4.791 ms/op
# Warmup Iteration  44: 3.817 ms/op
# Warmup Iteration  45: 7.373 ms/op
# Warmup Iteration  46: 3.488 ms/op
# Warmup Iteration  47: 8.246 ms/op
# Warmup Iteration  48: 8.961 ms/op
# Warmup Iteration  49: 2.051 ms/op
# Warmup Iteration  50: 4.189 ms/op
Iteration   1: 7.673 ms/op
Iteration   2: 4.932 ms/op
Iteration   3: 8.442 ms/op
Iteration   4: 4.605 ms/op
Iteration   5: 5.137 ms/op
Iteration   6: 2.700 ms/op
Iteration   7: 4.212 ms/op
Iteration   8: 6.767 ms/op
Iteration   9: 5.693 ms/op
Iteration  10: 1.935 ms/op
Iteration  11: 6.966 ms/op
Iteration  12: 4.256 ms/op
Iteration  13: 6.843 ms/op
Iteration  14: 3.441 ms/op
Iteration  15: 5.488 ms/op
Iteration  16: 3.248 ms/op
Iteration  17: 5.901 ms/op
Iteration  18: 2.044 ms/op
Iteration  19: 6.978 ms/op
Iteration  20: 2.033 ms/op
Iteration  21: 6.272 ms/op
Iteration  22: 2.075 ms/op
Iteration  23: 2.511 ms/op
Iteration  24: 4.790 ms/op
Iteration  25: 4.363 ms/op
Iteration  26: 8.481 ms/op
Iteration  27: 4.759 ms/op
Iteration  28: 4.553 ms/op
Iteration  29: 4.912 ms/op
Iteration  30: 3.962 ms/op
Iteration  31: 2.046 ms/op
Iteration  32: 6.550 ms/op
Iteration  33: 8.831 ms/op
Iteration  34: 6.575 ms/op
Iteration  35: 5.230 ms/op
Iteration  36: 4.584 ms/op
Iteration  37: 8.123 ms/op
Iteration  38: 7.991 ms/op
Iteration  39: 5.511 ms/op
Iteration  40: 9.698 ms/op
Iteration  41: 6.957 ms/op
Iteration  42: 8.784 ms/op
Iteration  43: 4.808 ms/op
Iteration  44: 5.268 ms/op
Iteration  45: 8.363 ms/op
Iteration  46: 6.650 ms/op
Iteration  47: 5.390 ms/op
Iteration  48: 2.844 ms/op
Iteration  49: 8.333 ms/op
Iteration  50: 7.355 ms/op
Iteration  51: 5.362 ms/op
Iteration  52: 6.246 ms/op
Iteration  53: 4.277 ms/op
Iteration  54: 16.657 ms/op
Iteration  55: 11.117 ms/op
Iteration  56: 6.361 ms/op
Iteration  57: 13.393 ms/op
Iteration  58: 2.836 ms/op
Iteration  59: 8.471 ms/op
Iteration  60: 2.191 ms/op
Iteration  61: 2.239 ms/op
Iteration  62: 4.465 ms/op
Iteration  63: 4.148 ms/op
Iteration  64: 4.763 ms/op
Iteration  65: 4.527 ms/op
Iteration  66: 5.465 ms/op
Iteration  67: 6.001 ms/op
Iteration  68: 4.401 ms/op
Iteration  69: 10.612 ms/op
Iteration  70: 3.001 ms/op
Iteration  71: 12.512 ms/op
Iteration  72: 3.189 ms/op
Iteration  73: 8.245 ms/op
Iteration  74: 3.341 ms/op
Iteration  75: 1.783 ms/op
Iteration  76: 11.373 ms/op
Iteration  77: 5.516 ms/op
Iteration  78: 6.459 ms/op
Iteration  79: 2.006 ms/op
Iteration  80: 3.564 ms/op
Iteration  81: 2.824 ms/op
Iteration  82: 1.697 ms/op
Iteration  83: 2.724 ms/op
Iteration  84: 1.622 ms/op
Iteration  85: 1.963 ms/op
Iteration  86: 2.460 ms/op
Iteration  87: 3.651 ms/op
Iteration  88: 1.989 ms/op
Iteration  89: 5.189 ms/op
Iteration  90: 6.533 ms/op
Iteration  91: 6.937 ms/op
Iteration  92: 2.734 ms/op
Iteration  93: 4.164 ms/op
